ID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15
1,10,A,25,1.5,Red,500,0.25,Yes,120,0.01,Blue,1200,2.3,Green,High
2,15,B,30,2.3,Blue,600,0.35,No,130,0.02,Red,1250,2.5,Yellow,Medium
3,20,C,35,2.8,Green,700,0.45,Yes,140,0.03,Green,1300,2.7,Orange,Low
4,25,D,40,3.1,Yellow,800,0.55,No,150,0.04,Yellow,1350,2.9,Red,High
5,30,E,45,3.5,Orange,900,0.65,Yes,160,0.05,Orange,1400,3.1,Blue,Medium
6,35,F,50,3.9,Red,1000,0.75,No,170,0.06,Red,1450,3.3,Green,Low
7,40,G,55,4.2,Blue,1100,0.85,Yes,180,0.07,Blue,1500,3.5,Yellow,High
8,45,H,60,4.6,Green,1200,0.95,No,190,0.08,Green,1550,3.7,Orange,Medium
9,50,I,65,5.0,Yellow,1300,1.05,Yes,200,0.09,Yellow,1600,3.9,Red,Low
10,55,J,70,5.4,Orange,1400,1.15,No,210,0.10,Orange,1650,4.1,Blue,High
11,60,K,75,5.8,Red,1500,1.25,Yes,220,0.11,Red,1700,4.3,Green,Medium
12,65,L,80,6.2,Blue,1600,1.35,No,230,0.12,Blue,1750,4.5,Yellow,Low
13,70,M,85,6.6,Green,1700,1.45,Yes,240,0.13,Green,1800,4.7,Orange,High
14,75,N,90,7.0,Yellow,1800,1.55,No,250,0.14,Yellow,1850,4.9,Red,Medium
15,80,O,95,7.4,Orange,1900,1.65,Yes,260,0.15,Orange,1900,5.1,Blue,Low
16,85,P,100,7.8,Red,2000,1.75,No,270,0.16,Red,1950,5.3,Green,High
17,90,Q,105,8.2,Blue,2100,1.85,Yes,280,0.17,Blue,2000,5.5,Yellow,Medium
18,95,R,110,8.6,Green,2200,1.95,No,290,0.18,Green,2050,5.7,Orange,Low
19,100,S,115,9.0,Yellow,2300,2.05,Yes,300,0.19,Yellow,2100,5.9,Red,High
20,105,T,120,9.4,Orange,2400,2.15,No,310,0.20,Orange,2150,6.1,Blue,Medium
21,110,U,125,9.8,Red,2500,2.25,Yes,320,0.21,Red,2200,6.3,Green,Low
22,115,V,130,10.2,Blue,2600,2.35,No,330,0.22,Blue,2250,6.5,Yellow,High
23,120,W,135,10.6,Green,2700,2.45,Yes,340,0.23,Green,2300,6.7,Orange,Medium
24,125,X,140,11.0,Yellow,2800,2.55,No,350,0.24,Yellow,2350,6.9,Red,Low
25,130,Y,145,11.4,Orange,2900,2.65,Yes,360,0.25,Orange,2400,7.1,Blue,High
26,135,Z,150,11.8,Red,3000,2.75,No,370,0.26,Red,2450,7.3,Green,Medium
27,140,A,155,12.2,Blue,3100,2.85,Yes,380,0.27,Blue,2500,7.5,Yellow,Low
28,145,B,160,12.6,Green,3200,2.95,No,390,0.28,Green,2550,7.7,Orange,High
29,150,C,165,13.0,Yellow,3300,3.05,Yes,400,0.29,Yellow,2600,7.9,Red,Medium
30,155,D,170,13.4,Orange,3400,3.15,No,410,0.30,Orange,2650,8.1,Blue,Low
31,160,E,175,13.8,Red,3500,3.25,Yes,420,0.31,Red,2700,8.3,Green,High
32,165,F,180,14.2,Blue,3600,3.35,No,430,0.32,Blue,2750,8.5,Yellow,Medium
33,170,G,185,14.6,Green,3700,3.45,Yes,440,0.33,Green,2800,8.7,Orange,Low
34,175,H,190,15.0,Yellow,3800,3.55,No,450,0.34,Yellow,2850,8.9,Red,High
35,180,I,195,15.4,Orange,3900,3.65,Yes,460,0.35,Orange,2900,9.1,Blue,Medium
